SUBJID,PARTNER,CONTRAST,MAPPING,BIN,TargProp,CompProp
S02,diff,foil,Within,2,0.4285714286,0.4285714286
S02,same,foil,Within,2,0.625,0.25
S02,diff,test,Within,2,0.25,0.5
S02,same,test,Within,2,0.4285714286,0.5714285714
S02,diff,foil,Within,3,0.4285714286,0.4285714286
S02,same,foil,Within,3,0.6666666667,0.3333333333
S02,diff,test,Within,3,0.2857142857,0.5714285714
S02,same,test,Within,3,0.375,0.625
S02,diff,foil,Within,4,0.3333333333,0.5
S02,same,foil,Within,4,0.5714285714,0.4285714286
S02,diff,test,Within,4,0.25,0.625
S02,same,test,Within,4,0.2857142857,0.7142857143
S02,diff,foil,Within,5,0.5,0.5
S02,same,foil,Within,5,0.7142857143,0.2857142857
S02,diff,test,Within,5,0.4285714286,0.4285714286
S02,same,test,Within,5,0.375,0.625
S02,diff,foil,Within,6,0.5714285714,0.4285714286
S02,same,foil,Within,6,0.8571428571,0.1428571429
S02,diff,test,Within,6,0.4285714286,0.4285714286
S02,same,test,Within,6,0.4285714286,0.5714285714
S02,diff,foil,Within,7,0.7142857143,0.2857142857
S02,same,foil,Within,7,0.8571428571,0.1428571429
S02,diff,test,Within,7,0.5,0.375
S02,same,test,Within,7,0.3333333333,0.6666666667
S02,diff,foil,Within,8,0.875,0.125
S02,same,foil,Within,8,1,0
S02,diff,test,Within,8,0.5,0.375
S02,same,test,Within,8,0.375,0.625
S02,diff,foil,Within,9,0.75,0.25
S02,same,foil,Within,9,1,0
S02,diff,test,Within,9,0.625,0.375
S02,same,test,Within,9,0.375,0.625
S02,diff,foil,Within,10,0.75,0.25
S02,same,foil,Within,10,0.8333333333,0.1666666667
S02,diff,test,Within,10,0.625,0.375
S02,same,test,Within,10,0.4285714286,0.5714285714
S02,diff,foil,Within,11,0.8571428571,0.1428571429
S02,same,foil,Within,11,0.8333333333,0.1666666667
S02,diff,test,Within,11,0.6666666667,0.3333333333
S02,same,test,Within,11,0.4285714286,0.5714285714
S02,diff,foil,Within,12,0.8333333333,0.1666666667
S02,same,foil,Within,12,1,0
S02,diff,test,Within,12,0.5,0.5
S02,same,test,Within,12,0.5,0.5
S02,diff,foil,Within,13,0.8333333333,0.1666666667
S02,same,foil,Within,13,1,0
S02,diff,test,Within,13,0.4,0.6
S02,same,test,Within,13,0.625,0.375
S02,diff,foil,Within,14,0.8333333333,0.1666666667
S02,same,foil,Within,14,1,0
S02,diff,test,Within,14,0.3333333333,0.6666666667
S02,same,test,Within,14,0.625,0.375
S02,diff,foil,Within,15,1,0
S02,same,foil,Within,15,1,0
S02,diff,test,Within,15,0.2,0.8
S02,same,test,Within,15,0.8333333333,0.1666666667
S02,diff,foil,Within,16,1,0
S02,same,foil,Within,16,1,0
S02,diff,test,Within,16,0.6,0.4
S02,same,test,Within,16,1,0
S02,diff,foil,Within,17,1,0
S02,same,foil,Within,17,1,0
S02,diff,test,Within,17,0.75,0.25
S02,same,test,Within,17,1,0
S02,diff,foil,Within,18,1,0
S02,same,foil,Within,18,1,0
S02,diff,test,Within,18,0.75,0.25
S02,same,test,Within,18,1,0
S03,diff,foil,Within,-6,0,0
S03,same,foil,Within,-6,0,0
S03,diff,test,Within,-6,0,0
S03,same,test,Within,-6,0,0.25
S03,diff,foil,Within,-5,0,0
S03,same,foil,Within,-5,0,0
S03,diff,test,Within,-5,0,0
S03,same,test,Within,-5,0,0.25
S03,diff,foil,Within,-4,0,0
S03,same,foil,Within,-4,0,0
S03,diff,test,Within,-4,0,0
S03,same,test,Within,-4,0,0.2
S03,diff,foil,Within,-3,0,0
S03,same,foil,Within,-3,0,0
S03,diff,test,Within,-3,0,0
S03,same,test,Within,-3,0,0.2
S03,diff,foil,Within,-2,0,0
S03,same,foil,Within,-2,0,0
S03,diff,test,Within,-2,0,0
S03,same,test,Within,-2,0,0.25
S03,diff,foil,Within,-1,0,0
S03,same,foil,Within,-1,0,0
S03,diff,test,Within,-1,0,0
S03,same,test,Within,-1,0,0.25
S03,diff,foil,Within,1,0,0
S03,same,foil,Within,1,0,0
S03,diff,test,Within,1,0,0
S03,same,test,Within,1,0,0.2
S03,diff,foil,Within,2,0,0
S03,same,foil,Within,2,0.1666666667,0
S03,diff,test,Within,2,0,0
S03,same,test,Within,2,0,0
S03,diff,foil,Within,3,0,0
S03,same,foil,Within,3,0.1428571429,0
S03,diff,test,Within,3,0,0
S03,same,test,Within,3,0.25,0
S03,diff,foil,Within,4,0.25,0
S03,same,foil,Within,4,0.2857142857,0
S03,diff,test,Within,4,0,0
S03,same,test,Within,4,0.25,0
S03,diff,foil,Within,5,0.3333333333,0
S03,same,foil,Within,5,0.4285714286,0
S03,diff,test,Within,5,0,0
S03,same,test,Within,5,0.25,0
S03,diff,foil,Within,6,0.4285714286,0
S03,same,foil,Within,6,0.4285714286,0
S03,diff,test,Within,6,0,0
S03,same,test,Within,6,0.25,0
S03,diff,foil,Within,7,0.4285714286,0
S03,same,foil,Within,7,0.5714285714,0
S03,diff,test,Within,7,0,0
S03,same,test,Within,7,0,0
S03,diff,foil,Within,8,0.4285714286,0
S03,same,foil,Within,8,0.8,0
S03,diff,test,Within,8,0,0.2
S03,same,test,Within,8,0.25,0
S03,diff,foil,Within,9,0.4285714286,0
S03,same,foil,Within,9,0.8,0
S03,diff,test,Within,9,0.1666666667,0.1666666667
S03,same,test,Within,9,0.25,0
S03,diff,foil,Within,10,0.5,0
S03,same,foil,Within,10,0.8,0
S03,diff,test,Within,10,0.1428571429,0.1428571429
S03,same,test,Within,10,0.4,0
S03,diff,foil,Within,11,0.25,0
S03,same,foil,Within,11,0.75,0
S03,diff,test,Within,11,0,0.1428571429
S03,same,test,Within,11,0.5,0
S03,diff,foil,Within,12,0.5,0
S03,same,foil,Within,12,0.8,0
S03,diff,test,Within,12,0,0.1666666667
S03,same,test,Within,12,0.75,0
S03,diff,foil,Within,13,0.6,0
S03,same,foil,Within,13,1,0
S03,diff,test,Within,13,0.1428571429,0.1428571429
S03,same,test,Within,13,1,0
S03,diff,foil,Within,14,0.6666666667,0
S03,same,foil,Within,14,0.75,0
S03,diff,test,Within,14,0.4,0
S03,same,test,Within,14,1,0
S03,diff,foil,Within,15,1,0
S03,same,foil,Within,15,0.75,0
S03,diff,test,Within,15,0.5,0
S03,same,test,Within,15,1,0
S03,diff,foil,Within,16,1,0
S03,same,foil,Within,16,0.75,0
S03,diff,test,Within,16,0.6,0.2
S03,same,test,Within,16,1,0
S03,diff,foil,Within,17,1,0
S03,same,foil,Within,17,0.75,0
S03,diff,test,Within,17,0.8,0.2
S03,same,test,Within,17,1,0
S03,diff,foil,Within,18,1,0
S03,same,foil,Within,18,1,0
S03,diff,test,Within,18,0.75,0.25
S03,same,test,Within,18,1,0
S04,diff,foil,Between,-6,0,0
S04,same,foil,Between,-6,0.125,0
S04,diff,test,Between,-6,0,0
S04,same,test,Between,-6,0,0
S04,diff,foil,Between,-5,0,0
S04,same,foil,Between,-5,0.125,0
S04,diff,test,Between,-5,0,0
S04,same,test,Between,-5,0,0
S04,diff,foil,Between,-4,0,0
S04,same,foil,Between,-4,0.375,0
S04,diff,test,Between,-4,0,0
S04,same,test,Between,-4,0,0
S04,diff,foil,Between,-3,0,0.125
S04,same,foil,Between,-3,0.375,0
S04,diff,test,Between,-3,0,0.25
S04,same,test,Between,-3,0,0
S04,diff,foil,Between,-2,0.25,0.25
S04,same,foil,Between,-2,0.375,0.25
S04,diff,test,Between,-2,0.4444444444,0.2222222222
S04,same,test,Between,-2,0.2222222222,0.1111111111
S04,diff,foil,Between,-1,0.4444444444,0.3333333333
S04,same,foil,Between,-1,0.625,0.375
S04,diff,test,Between,-1,0.5555555556,0.3333333333
S04,same,test,Between,-1,0.5,0.25
S04,diff,foil,Between,1,0.625,0.375
S04,same,foil,Between,1,0.7142857143,0.2857142857
S04,diff,test,Between,1,0.5,0.5
S04,same,test,Between,1,0.5,0.5
S04,diff,foil,Between,2,0.625,0.375
S04,same,foil,Between,2,0.5,0.5
S04,diff,test,Between,2,0.5,0.5
S04,same,test,Between,2,0.5,0.5
S04,diff,foil,Between,3,0.75,0.25
S04,same,foil,Between,3,0.5,0.5
S04,diff,test,Between,3,0.5,0.5
S04,same,test,Between,3,0.5,0.5
S04,diff,foil,Between,4,0.625,0.375
S04,same,foil,Between,4,0.8571428571,0.1428571429
S04,diff,test,Between,4,0.5,0.5
S04,same,test,Between,4,0.5,0.5
S04,diff,foil,Between,5,0.875,0.125
S04,same,foil,Between,5,1,0
S04,diff,test,Between,5,0.4285714286,0.5714285714
S04,same,test,Between,5,0.625,0.375
S04,diff,foil,Between,6,1,0
S04,same,foil,Between,6,1,0
S04,diff,test,Between,6,0.5,0.375
S04,same,test,Between,6,0.625,0.375
S04,diff,foil,Between,7,1,0
S04,same,foil,Between,7,1,0
S04,diff,test,Between,7,0.4444444444,0.4444444444
S04,same,test,Between,7,0.4285714286,0.5714285714
S04,diff,foil,Between,8,1,0
S04,same,foil,Between,8,1,0
S04,diff,test,Between,8,0.5,0.5
S04,same,test,Between,8,0.5714285714,0.4285714286
S04,diff,foil,Between,9,1,0
S04,same,foil,Between,9,1,0
S04,diff,test,Between,9,0.5,0.5
S04,same,test,Between,9,0.5,0.5
S04,diff,foil,Between,10,1,0
S04,same,foil,Between,10,1,0
S04,diff,test,Between,10,0.5,0.5
S04,same,test,Between,10,0.5,0.5
S04,diff,foil,Between,11,1,0
S04,same,foil,Between,11,1,0
S04,diff,test,Between,11,0.6666666667,0.3333333333
S04,same,test,Between,11,0.4285714286,0.5714285714
S04,diff,foil,Between,12,1,0
S04,same,foil,Between,12,1,0
S04,diff,test,Between,12,0.5,0.5
S04,same,test,Between,12,0.6666666667,0.3333333333
S04,diff,foil,Between,13,1,0
S04,same,foil,Between,13,1,0
S04,diff,test,Between,13,0.6666666667,0.3333333333
S04,same,test,Between,13,0.6666666667,0.3333333333
S04,diff,foil,Between,14,1,0
S04,same,foil,Between,14,1,0
S04,diff,test,Between,14,0.7142857143,0.2857142857
S04,same,test,Between,14,0.6666666667,0.3333333333
S04,diff,foil,Between,15,1,0
S04,same,foil,Between,15,1,0
S04,diff,test,Between,15,0.7142857143,0.2857142857
S04,same,test,Between,15,0.6666666667,0.3333333333
S04,diff,foil,Between,16,1,0
S04,same,foil,Between,16,1,0
S04,diff,test,Between,16,0.75,0.25
S04,same,test,Between,16,0.8,0.2
S04,diff,foil,Between,17,1,0
S04,same,foil,Between,17,1,0
S04,diff,test,Between,17,1,0
S04,same,test,Between,17,1,0
S04,diff,foil,Between,18,1,0
S04,same,foil,Between,18,1,0
S04,diff,test,Between,18,1,0
S04,same,test,Between,18,1,0
S05,diff,foil,Within,-6,0.1666666667,0
S05,same,foil,Within,-6,0,0.125
S05,diff,test,Within,-6,0.1428571429,0.1428571429
S05,same,test,Within,-6,0,0.2857142857
S05,diff,foil,Within,-5,0,0
S05,same,foil,Within,-5,0.1428571429,0.1428571429
S05,diff,test,Within,-5,0.1666666667,0.1666666667
S05,same,test,Within,-5,0,0.2857142857
S05,diff,foil,Within,-4,0,0
S05,same,foil,Within,-4,0.125,0
S05,diff,test,Within,-4,0.1666666667,0
S05,same,test,Within,-4,0,0.1666666667
S05,diff,foil,Within,-3,0.2,0
S05,same,foil,Within,-3,0.25,0
S05,diff,test,Within,-3,0.1666666667,0
S05,same,test,Within,-3,0,0.1666666667
S05,diff,foil,Within,-2,0.2,0.4
S05,same,foil,Within,-2,0.375,0
S05,diff,test,Within,-2,0.3333333333,0
S05,same,test,Within,-2,0.3333333333,0.2222222222
S05,diff,foil,Within,-1,0.3333333333,0.3333333333
S05,same,foil,Within,-1,0.6666666667,0.1666666667
S05,diff,test,Within,-1,0.5,0.3333333333
S05,same,test,Within,-1,0.5,0.5
S05,diff,foil,Within,1,0.3333333333,0.5
S05,same,foil,Within,1,0.8,0.2
S05,diff,test,Within,1,0.5,0.3333333333
S05,same,test,Within,1,0.5,0.5
